Pclass,Fare,Survived
3,7.25,0
1,71.2833,1
3,7.925,1
1,53.1,1
3,8.05,0
3,8.4583,0
1,51.8625,0
3,21.075,0
3,11.1333,1
2,30.0708,1
3,16.7,1
1,26.55,1
3,8.05,0
3,31.275,0
3,7.8542,0
2,16,1
3,29.125,0
2,13,1
3,18,0
3,7.225,1
2,26,0
2,13,1
3,8.0292,1
1,35.5,1
3,21.075,0
3,31.3875,1
3,7.225,0
1,263,0
3,7.8792,1
3,7.8958,0
1,27.7208,0
1,146.5208,1
3,7.75,1
2,10.5,0
1,82.1708,0
1,52,0
3,7.2292,1
3,8.05,0
3,18,0
3,11.2417,1
3,9.475,0
2,21,0
3,7.8958,0
2,41.5792,1
3,7.8792,1
3,8.05,0
3,15.5,0
3,7.75,1
3,21.6792,0
3,17.8,0
3,39.6875,0
3,7.8,0
1,76.7292,1
2,26,1
1,61.9792,0
1,35.5,1
2,10.5,1
3,7.2292,0
2,27.75,1
3,46.9,0
3,7.2292,0
1,80,1
1,83.475,0
3,27.9,0
1,27.7208,0
3,15.2458,1
2,10.5,1
3,8.1583,0
3,7.925,1
3,8.6625,0
2,10.5,0
3,46.9,0
2,73.5,0
3,14.4542,0
3,56.4958,1
3,7.65,0
3,7.8958,0
3,8.05,0
2,29,1
3,12.475,1
3,9,0
3,9.5,1
3,7.7875,1
1,47.1,0
2,10.5,1
3,15.85,1
3,34.375,0
3,8.05,0
1,263,1
3,8.05,0
3,8.05,0
3,7.8542,0
1,61.175,0
3,20.575,0
3,7.25,0
3,8.05,0
1,34.6542,0
1,63.3583,1
2,23,1
2,26,0
3,7.8958,0
3,7.8958,0
1,77.2875,0
3,8.6542,0
3,7.925,0
3,7.8958,0
3,7.65,1
3,7.775,1
3,7.8958,0
3,24.15,1
1,52,0
3,14.4542,0
3,8.05,0
3,9.825,0
3,14.4583,0
3,7.925,0
3,7.75,0
2,21,0
1,247.5208,0
3,31.275,0
2,73.5,0
3,8.05,0
2,30.0708,0
2,13,1
1,77.2875,0
3,11.2417,1
3,7.75,0
3,7.1417,1
3,22.3583,1
3,6.975,0
3,7.8958,0
3,7.05,0
3,14.5,0
2,26,1
2,13,0
2,15.0458,0
1,26.2833,1
1,53.1,0
3,9.2167,0
1,79.2,0
3,15.2458,0
3,7.75,1
3,15.85,1
3,6.75,0
2,11.5,0
2,36.75,0
3,7.7958,1
3,34.375,0
2,26,0
2,13,0
2,12.525,0
1,66.6,1
3,8.05,0
3,14.5,0
3,7.3125,0
1,61.3792,0
3,7.7333,1
3,8.05,0
3,8.6625,0
3,69.55,0
3,16.1,0
2,15.75,1
3,7.775,0
3,8.6625,0
3,39.6875,0
3,20.525,1
1,55,1
3,27.9,0
1,25.925,0
3,56.4958,0
1,33.5,0
3,29.125,0
3,11.1333,1
3,7.925,0
1,30.6958,0
3,7.8542,0
3,25.4667,0
1,28.7125,0
2,13,0
3,0,0
3,69.55,0
2,15.05,0
3,31.3875,0
2,39,1
3,22.025,1
1,50,0
3,15.5,1
1,26.55,1
3,15.5,0
3,7.8958,0
2,13,1
2,13,0
3,7.8542,1
2,26,1
1,27.7208,1
1,146.5208,1
3,7.75,0
3,8.4042,0
3,7.75,1
2,13,0
3,9.5,0
3,69.55,0
3,6.4958,0
3,7.225,0
3,8.05,1
3,10.4625,0
3,15.85,0
3,18.7875,1
3,7.75,1
1,31,1
3,7.05,0
2,21,1
3,7.25,0
2,13,0
3,7.75,0
1,113.275,1
3,7.925,1
2,27,0
1,76.2917,1
2,10.5,0
3,8.05,1
2,13,0
3,8.05,0
3,7.8958,0
1,90,1
3,9.35,0
2,10.5,1
3,7.25,0
2,13,0
3,25.4667,0
1,83.475,1
3,7.775,0
2,13.5,0
3,31.3875,1
2,10.5,0
3,7.55,0
2,26,0
2,26.25,1
2,10.5,0
2,12.275,0
3,14.4542,0
3,15.5,1
2,10.5,0
3,7.125,0
3,7.225,0
1,90,0
3,7.775,0
2,14.5,1
1,52.5542,1
2,26,0
3,7.25,0
3,10.4625,0
1,26.55,0
3,16.1,0
3,20.2125,0
3,15.2458,1
1,79.2,1
1,86.5,1
1,512.3292,1
2,26,1
3,7.75,0
3,31.3875,1
1,79.65,0
1,0,0
3,7.75,0
2,10.5,0
3,39.6875,0
3,7.775,1
1,153.4625,1
1,135.6333,1
1,31,0
3,0,1
2,19.5,1
1,29.7,0
3,7.75,1
1,77.9583,1
3,7.75,0
2,0,0
3,29.125,0
3,20.25,1
3,7.75,0
3,7.8542,0
3,9.5,0
3,8.05,1
1,26,0
3,8.6625,0
3,9.5,1
3,7.8958,0
2,13,1
3,7.75,1
1,78.85,1
1,91.0792,1
2,12.875,0
3,8.85,0
3,7.8958,0
1,27.7208,0
3,7.2292,0
1,151.55,0
1,30.5,1
1,247.5208,1
3,7.75,1
3,23.25,1
3,0,0
2,12.35,1
3,8.05,0
1,151.55,1
1,110.8833,1
1,108.9,1
2,24,0
1,56.9292,1
1,83.1583,1
1,262.375,1
2,26,0
3,7.8958,0
2,26.25,0
3,7.8542,1
2,26,1
2,14,0
1,164.8667,1
1,134.5,1
3,7.25,0
3,7.8958,0
2,12.35,1
2,29,1
3,69.55,0
1,135.6333,1
3,6.2375,0
2,13,1
3,20.525,1
1,57.9792,1
3,23.25,1
1,28.5,0
1,153.4625,0
3,18,0
1,133.65,1
3,7.8958,0
1,66.6,0
1,134.5,1
3,8.05,1
1,35.5,0
2,26,1
1,263,1
2,13,0
2,13,0
2,13,0
2,13,1
2,13,1
3,16.1,1
3,15.9,1
3,8.6625,0
3,9.225,0
1,35,0
3,7.2292,0
3,17.8,0
3,7.225,0
3,9.5,0
1,55,1
2,13,0
3,7.8792,1
3,7.8792,1
3,27.9,0
2,27.7208,0
3,14.4542,0
3,7.05,0
3,15.5,0
3,7.25,0
1,75.25,1
3,7.2292,1
3,7.75,1
1,69.3,1
1,55.4417,1
3,6.4958,0
3,8.05,0
1,135.6333,0
3,21.075,0
1,82.1708,1
3,7.25,1
1,211.5,0
3,4.0125,0
3,7.775,0
1,227.525,1
3,15.7417,1
3,7.925,0
1,52,1
3,7.8958,0
2,73.5,0
3,46.9,0
2,13,1
3,7.7292,0
2,12,1
1,120,1
3,7.7958,1
3,7.925,0
1,113.275,1
3,16.7,1
3,7.7958,0
3,7.8542,0
2,26,0
2,10.5,0
2,12.65,1
3,7.925,1
3,8.05,0
3,9.825,0
3,15.85,0
3,8.6625,0
2,21,0
3,7.75,0
2,18.75,1
3,7.775,0
3,25.4667,0
3,7.8958,0
3,6.8583,0
1,90,1
2,0,0
3,7.925,1
3,8.05,0
2,32.5,1
2,13,1
2,13,0
3,24.15,0
3,7.8958,0
3,7.7333,0
3,7.875,0
3,14.4,0
3,20.2125,0
3,7.25,0
2,26,1
2,26,1
3,7.75,0
3,8.05,1
1,26.55,1
3,16.1,1
2,26,1
3,7.125,0
1,55.9,0
1,120,1
3,34.375,0
2,18.75,1
1,263,0
2,10.5,0
2,26.25,1
3,9.5,0
3,7.775,0
2,13,1
3,8.1125,1
1,81.8583,1
2,19.5,1
1,26.55,1
3,19.2583,1
1,30.5,1
2,27.75,0
3,19.9667,0
1,27.75,0
1,89.1042,1
3,8.05,0
3,7.8958,1
1,26.55,0
1,51.8625,1
2,10.5,1
3,7.75,0
1,26.55,1
3,8.05,0
1,38.5,0
2,13,0
3,8.05,0
3,7.05,0
2,0,0
1,26.55,0
3,7.725,0
3,19.2583,1
3,7.25,0
3,8.6625,0
2,27.75,1
2,13.7917,1
3,9.8375,0
1,52,0
2,21,0
3,7.0458,0
3,7.5208,0
3,12.2875,1
3,46.9,0
2,0,0
3,8.05,0
3,9.5875,1
1,91.0792,1
3,25.4667,0
1,90,1
1,29.7,0
3,8.05,0
3,15.9,1
3,19.9667,0
3,7.25,0
1,30.5,0
1,49.5042,0
3,8.05,0
3,14.4583,0
1,78.2667,1
3,15.1,0
1,151.55,0
3,7.7958,0
3,8.6625,0
3,7.75,0
3,7.6292,0
3,9.5875,0
1,86.5,1
1,108.9,0
2,26,1
1,26.55,1
3,22.525,0
3,56.4958,1
3,7.75,1
3,8.05,0
1,26.2875,1
1,59.4,1
3,7.4958,0
1,34.0208,0
2,10.5,1
3,24.15,0
2,26,1
3,7.8958,0
1,93.5,1
3,7.8958,0
3,7.225,0
1,57.9792,1
3,7.2292,0
3,7.75,0
2,10.5,1
1,221.7792,0
3,7.925,0
2,11.5,0
2,26,1
3,7.2292,0
3,7.2292,0
3,22.3583,1
3,8.6625,0
2,26.25,1
1,26.55,0
1,106.425,1
3,14.5,0
1,49.5,1
1,71,1
3,31.275,0
3,31.275,0
2,26,1
1,106.425,0
1,26,0
2,26,1
2,13.8625,1
3,20.525,0
2,36.75,1
1,110.8833,1
2,26,0
3,7.8292,0
3,7.225,1
3,7.775,1
1,26.55,0
1,39.6,1
1,227.525,0
1,79.65,1
3,17.4,1
3,7.75,0
3,7.8958,0
2,13.5,0
3,8.05,0
3,8.05,0
3,24.15,0
3,7.8958,0
3,21.075,0
3,7.2292,0
3,7.8542,1
2,10.5,1
1,51.4792,1
1,26.3875,1
3,7.75,1
3,8.05,0
3,14.5,0
2,13,1
1,55.9,1
3,14.4583,0
3,7.925,1
2,30,1
1,110.8833,1
2,26,0
1,40.125,0
3,8.7125,0
1,79.65,1
2,15,0
1,79.2,1
3,8.05,0
3,8.05,0
3,7.125,0
1,78.2667,1
3,7.25,0
3,7.75,0
2,26,0
3,24.15,0
2,33,1
3,0,0
3,7.225,0
1,56.9292,1
2,27,1
3,7.8958,0
1,42.4,0
3,8.05,0
1,26.55,1
3,15.55,0
3,7.8958,0
1,30.5,1
2,41.5792,1
1,153.4625,1
3,31.275,0
3,7.05,0
3,15.5,1
3,7.75,0
3,8.05,0
2,65,1
3,14.4,0
3,16.1,0
2,39,1
2,10.5,0
3,14.4542,0
1,52.5542,1
3,15.7417,1
3,7.8542,0
3,16.1,0
1,32.3208,0
2,12.35,0
1,77.9583,1
3,7.8958,0
3,7.7333,0
1,30,1
3,7.0542,0
1,30.5,1
1,0,0
3,27.9,0
2,13,1
3,7.925,0
2,26.25,0
3,39.6875,0
3,16.1,0
3,7.8542,0
1,69.3,1
3,27.9,0
3,56.4958,1
3,19.2583,1
1,76.7292,1
3,7.8958,0
1,35.5,1
3,7.55,0
3,7.55,1
3,7.8958,0
2,23,1
3,8.4333,0
3,7.8292,1
3,6.75,0
2,73.5,0
3,7.8958,0
3,15.5,0
2,13,0
1,113.275,0
1,133.65,1
3,7.225,0
1,25.5875,0
3,7.4958,0
3,7.925,1
2,73.5,0
2,13,0
3,7.775,0
3,8.05,0
1,52,1
2,39,1
1,52,0
2,10.5,0
2,13,1
2,0,0
3,7.775,0
3,8.05,0
3,9.8417,1
3,46.9,0
1,512.3292,1
3,8.1375,0
1,76.7292,1
3,9.225,0
3,46.9,0
2,39,0
2,41.5792,0
3,39.6875,0
3,10.1708,0
3,7.7958,0
1,211.3375,1
1,57,1
3,13.4167,1
3,56.4958,1
3,7.225,0
1,26.55,0
2,13.5,0
3,8.05,0
3,7.7333,1
1,110.8833,0
3,7.65,0
1,227.525,1
1,26.2875,1
3,14.4542,0
3,7.7417,0
3,7.8542,0
2,26,0
2,13.5,1
1,26.2875,1
1,151.55,1
3,15.2458,1
1,49.5042,1
1,26.55,0
1,52,1
3,9.4833,0
2,13,0
3,7.65,0
1,227.525,1
2,10.5,1
3,15.5,0
3,7.775,0
2,33,1
3,7.0542,0
2,13,0
2,13,0
1,53.1,1
3,8.6625,0
2,21,1
3,7.7375,1
2,26,0
3,7.925,0
1,211.3375,1
3,18.7875,0
2,0,0
2,13,0
2,13,0
3,16.1,0
3,34.375,0
1,512.3292,1
3,7.8958,0
3,7.8958,0
1,30,1
1,78.85,0
1,262.375,1
3,16.1,0
3,7.925,1
1,71,0
3,20.25,0
2,13,1
1,53.1,0
3,7.75,0
2,23,1
3,12.475,1
3,9.5,0
3,7.8958,0
2,65,1
2,14.5,1
3,7.7958,0
2,11.5,0
3,8.05,0
1,86.5,1
3,14.5,0
3,7.125,0
3,7.2292,1
1,120,1
3,7.775,0
1,77.9583,1
1,39.6,0
3,7.75,0
3,24.15,0
3,8.3625,0
3,9.5,0
3,7.8542,0
2,10.5,0
3,7.225,0
2,23,1
3,7.75,0
3,7.75,0
3,12.475,1
3,7.7375,0
1,211.3375,1
3,7.2292,1
1,57,1
1,30,0
3,23.45,0
3,7.05,0
3,7.25,0
3,7.4958,1
3,29.125,0
3,20.575,1
1,79.2,0
3,7.75,0
2,26,0
3,69.55,0
1,30.6958,0
3,7.8958,0
2,13,0
1,25.9292,1
3,8.6833,1
3,7.2292,0
3,24.15,0
2,13,0
2,26.25,1
1,120,1
3,8.5167,1
3,6.975,1
3,7.775,0
1,0,0
3,7.775,0
2,13,0
1,53.1,1
3,7.8875,0
3,24.15,0
2,10.5,0
3,31.275,0
3,8.05,0
1,0,0
3,7.925,0
2,37.0042,0
3,6.45,0
3,27.9,0
1,93.5,1
3,8.6625,1
1,0,0
3,12.475,1
3,39.6875,0
3,6.95,0
3,56.4958,0
2,37.0042,1
3,7.75,1
1,80,1
3,14.4542,1
2,18.75,1
3,7.2292,0
3,7.8542,0
3,8.3,0
1,83.1583,1
3,8.6625,0
3,8.05,0
3,56.4958,1
1,29.7,1
3,7.925,0
2,10.5,0
1,31,1
3,6.4375,0
3,8.6625,0
3,7.55,0
3,69.55,0
3,7.8958,0
2,33,0
1,89.1042,1
3,31.275,0
3,7.775,0
3,15.2458,0
1,39.4,1
2,26,0
3,9.35,1
1,164.8667,1
1,26.55,1
3,19.2583,1
3,7.2292,0
3,14.1083,0
2,11.5,0
1,25.9292,1
3,69.55,0
2,13,0
2,13,1
2,13.8583,1
1,50.4958,0
3,9.5,0
3,11.1333,1
3,7.8958,0
1,52.5542,1
1,5,0
3,9,0
2,24,1
3,7.225,1
3,9.8458,0
3,7.8958,0
3,7.8958,0
1,83.1583,1
2,26,1
3,7.8958,0
3,10.5167,0
2,10.5,0
3,7.05,0
3,29.125,0
2,13,0
1,30,1
3,23.45,0
1,30,1
3,7.75,0
3,7.8292,0
3,7,1
2,9.6875,0
3,8.6625,0
3,12.2875,1
3,9.225,0
3,7.6292,1
2,29,0
3,7.2292,1
3,24.15,0
3,7.8958,0
1,26,0
1,82.2667,1
2,26,0
1,61.175,1
2,27.7208,1
2,12.35,0
3,7.225,0
3,7.925,1
3,7.225,1
1,59.4,0
3,3.1708,0
1,31.6833,1
1,61.3792,0
1,262.375,1
3,14.5,0
1,61.9792,1
3,7.225,0
1,30.5,0
3,21.6792,0
2,26,0
2,31.5,0
3,20.575,1
3,23.45,1
1,57.75,0
3,7.2292,0
3,8.05,1
3,8.6625,1
3,9.5,0
3,56.4958,0
3,13.4167,0
1,26.55,0
3,7.85,0
2,13,1
1,52.5542,1
3,7.925,0
1,29.7,0
3,7.75,0
1,76.2917,1
3,15.9,1
1,60,0
2,15.0333,0
2,23,1
1,263,1
2,15.5792,0
3,29.125,0
3,7.8958,0
3,7.65,0
3,16.1,0
1,262.375,1
3,7.8958,0
2,13.5,0
3,7.75,0
3,7.725,1
1,262.375,0
2,21,1
3,7.8792,1
1,42.4,0
1,28.5375,0
1,263,1
3,7.75,1
3,7.8958,0
3,7.925,1
1,27.7208,0
1,211.5,1
1,211.5,0
3,8.05,0
1,25.7,1
2,13,0
3,7.75,1
3,15.2458,0
1,221.7792,0
1,26,0
3,7.8958,0
2,10.7083,0
3,14.4542,0
3,7.8792,1
3,8.05,1
3,7.75,1
2,23,0
3,13.9,1
3,7.775,0
1,52,1
3,8.05,0
1,26,0
3,7.7958,0
1,78.85,1
3,7.925,0
3,7.8542,1
3,8.05,0
1,55.4417,1
2,26,0
3,7.75,0
3,7.775,0
3,8.5167,1
3,22.525,0
3,7.8208,0
3,7.75,0
3,8.7125,0
2,13,0
2,15.0458,0
3,7.7792,1
1,31.6792,1
3,7.2833,1
1,221.7792,1
3,14.4542,0
3,6.4375,0
3,16.7,1
1,75.2417,0
2,26,1
2,15.75,1
3,7.75,0
1,57.75,1
3,7.25,0
3,7.75,0
3,16.1,1
3,7.7958,0
3,23.25,1
2,13,0
3,8.05,0
3,8.05,0
1,28.5,0
3,25.4667,1
3,6.4375,0
3,7.8958,0
3,7.8542,0
3,7.225,0
2,13,0
3,8.05,1
3,46.9,0
3,46.9,1
1,151.55,1
1,262.375,0
2,26,0
1,26.55,0
3,18,0
1,51.8625,0
3,8.05,0
1,26.55,0
2,26,0
1,83.1583,1
3,7.8958,0
3,12.1833,1
3,31.3875,0
3,7.55,0
1,221.7792,1
3,7.8542,1
1,26.55,0
3,13.775,1
3,7.7333,1
3,15.2458,0
2,13.5,1
3,7,0
2,13,0
3,22.025,1
1,50.4958,0
3,34.375,0
1,27.7208,1
3,8.9625,1
3,7.55,0
3,7.225,0
3,13.9,0
3,7.2292,0
3,31.3875,0
2,39,1
2,36.75,1
1,55.4417,0
2,39,1
1,83.1583,1
2,13,0
1,83.1583,0
1,53.1,1
3,7.75,0
1,247.5208,1
2,16,0
2,21,1
3,8.05,0
3,69.55,1
2,13,0
2,26,0
1,26,0
3,14.5,0
2,12.35,0
2,32.5,0
3,7.8542,0
1,134.5,0
3,7.775,1
2,10.5,0
3,8.1125,1
3,15.5,1
3,14.4,0
1,227.525,0
2,26,1
2,10.5,0
1,25.7417,0
3,7.75,1
2,10.5,0
1,27.7208,1
3,7.8958,0
3,22.525,0
3,7.05,0
2,73.5,0
2,26,1
3,7.775,1
1,42.5,0
3,7.8792,1
1,164.8667,0
1,211.5,1
3,8.05,0
2,13.8583,1
3,8.05,0
2,10.5,1
3,7.7958,0
1,27.4458,1
3,15.2458,1
3,7.7958,0
3,7.75,1
3,15.1,0
2,13,0
2,65,0
1,26.55,1
3,6.4958,0
3,7.8792,0
1,71.2833,0
3,7.8542,0
1,75.25,0
3,7.225,0
2,13,1
1,106.425,1
1,27.7208,1
2,30,1
1,134.5,0
3,7.8875,0
3,23.45,0
1,51.8625,0
2,21,1
2,32.5,0
2,26,1
3,14.4542,1
2,27.75,1
3,7.925,0
1,136.7792,0
3,9.325,0
3,9.5,0
3,7.55,0
3,7.75,0
3,8.05,0
2,13,1
3,7.775,0
3,17.4,0
3,7.8542,0
2,23,1
3,12.1833,1
2,12.7375,0
3,7.8958,0
1,0,0
3,7.55,0
3,8.05,1
3,8.6625,0
1,75.2417,0
3,7.75,0
1,136.7792,1
3,15.5,1
3,7.225,0
2,26,1
2,10.5,0
2,26,0
2,21,0
2,10.5,0
3,8.6625,1
3,13.775,0
3,7.75,1
3,15.2458,1
3,20.2125,1
3,7.25,0
3,7.25,0
1,82.2667,0
3,7.2292,0
3,8.05,0
1,39.6,0
3,6.95,1
3,7.2292,0
1,81.8583,0
3,9.5,0
3,7.8958,0
2,41.5792,1
3,21.6792,0
1,45.5,0
3,7.8542,0
3,7.775,0
2,15.0458,0
2,21,0
3,8.6625,0
3,7.75,1
1,26.55,1
1,151.55,0
3,9.35,0
1,93.5,0
3,14.1083,1
3,8.6625,0
3,7.225,0
3,7.575,0
3,7.75,1
1,135.6333,1
3,7.7333,1
1,146.5208,0
2,10.5,0
3,7.8542,0
2,31.5,0
3,7.775,0
3,7.2292,0
2,13,0
1,26.55,0
1,211.3375,1
3,7.05,0
2,39,1
1,79.2,0
2,26,0
2,13,0
2,36.75,1
1,29.7,0
3,7.225,0
3,15.7417,1
3,7.8958,0
1,26,0
2,13,0
3,7.2292,0
2,31.5,0
3,7.2292,0
2,10.5,0
3,7.5792,0
3,69.55,0
1,512.3292,1
3,14.5,0
3,7.65,1
2,13,0
3,7.2292,1
2,13.5,0
2,21,1
1,63.3583,1
2,10.5,0
2,73.5,0
2,65,0
3,20.575,1
1,26,0
1,51.4792,1
3,7.8792,0
3,7.75,0
3,15.55,1
3,69.55,0
2,37.0042,1
2,21,1
3,8.6625,0
1,55.4417,1
3,69.55,1
3,14.4583,0
3,39.6875,1
1,59.4,1
2,13.8583,0
2,11.5,0
1,134.5,1
1,0,0
2,13,0
1,81.8583,1
1,262.375,1
3,8.6625,1
2,11.5,0
1,50,0
3,31.3875,0
3,7.75,0
3,7.8792,0
3,14.5,1
3,16.1,1
2,12.875,0
2,65,1
3,7.775,0
2,13,0
3,7.75,0
3,21.075,0
1,93.5,0
1,39.4,1
3,20.25,0
2,10.5,0
3,22.025,0
1,60,1
3,7.25,0
1,79.2,1
3,7.775,0
3,7.7333,0
1,164.8667,1
2,21,0
1,59.4,1
1,47.1,0
1,27.7208,0
2,13.8625,0
2,10.5,0
1,211.5,0
3,7.7208,1
3,13.775,1
3,7.75,1
1,90,1
3,7.775,1
3,8.05,0
1,108.9,1
3,7.25,0
3,8.05,0
3,22.3583,0
